Region,Service_Type,Type,Optimal_Num_Branches,Optimal_Cumulative_Percentage,Branches
CCU,Air White,Volume,40,35.71506507676722,"X22, B06, T03, B35, W52, H70, M07, T04, X02, M01, A46, W02, T32, P04, B59, S04, M08, B61, M05, M47, L02, N11, B07, N32, N02, B26, L04, A36, N17, P24, B11, B09, N09, P12, M61, B58, P27, S09, S01, U03"
CCU,Ground,Billed Wt,91,61.53330127919058,"W52, W02, X22, T10, T03, T04, W23, X02, W07, J02, W06, W04, W05, L04, H42, Q06, W03, X10, W22, X05, A48, B35, S04, R07, B09, T13, U25, X17, T09, U03, V58, N35, I46, U09, B06, X06, A03, M35, X30, Q12, J12, C13, J03, N02, B08, X13, H70, R32, T05, B07, L23, R11, N17, J18, J50, U06, N09, T06, N11, M08, W12, J25, M54, T26, N32, T36, P19, J08, P04, X25, M01, Q16, B61, J19, C47, N31, U01, N33, X34, I08, H71, X38, W14, P15, W09, T34, T42, M47, N37, Q09, X27"
CCU,Ground,Volume,7,14.691506694056814,"W52, W02, X22, T03, T04, S04, T10"
CHE,Air Red,Billed Wt,13,22.44442447120858,"S04, B06, E21, P04, H70, B35, M08, H08, K28, P50, K75, M07, L04"
CHE,Air Red,Volume,6,12.503270443908262,"B35, B06, H70, B09, B59, B07"
CHE,Air White,Billed Wt,45,42.598555722805514,"E21, B35, E06, B09, E23, P04, B06, L04, H70, B07, B59, V58, B61, B11, H80, M07, A49, H09, O05, V09, V01, V08, B58, P50, H79, B08, N32, A07, B26, H08, K05, K28, B02, H48, E03, M01, B27, O04, E09, Q06, S04, H11, A03, M08, L23"
CHE,Air White,Volume,34,45.62885583437416,"B35, E21, E06, B59, B09, B06, H70, B07, V58, E23, B11, B61, V08, H80, V01, H79, B58, V09, H09, B26, O05, B08, H11, E03, H48, H08, O04, B02, E02, V05, H74, B27, P04, O02"
CHE,Ground,Billed Wt,67,60.53492241882507,"B07, E06, E21, K28, V01, E02, E23, V58, B59, B61, E16, B09, H70, B08, O05, B35, B27, O08, E03, B06, E09, H10, E11, O13, O04, V05, V08, O02, B01, B02, B58, V09, H48, H80, W52, O12, W02, O03, H79, H09, B14, B68, H08, M35, O07, H71, K06, V16, B26, P15, E10, P12, V13, V04, B11, Q06, B16, P50, T10, P04, B19, H17, L04, O11, B05, H11, O09"
CHE,Ground,Volume,11,19.329877913974816,"E21, E06, B35, B07, V58, H70, B06, E23, V01, B59, B61"
CJB,Air Red,Billed Wt,3,7.374822497993468,"B35, B06, H70"
CJB,Air Red,Volume,6,20.01031625777747,"B35, B06, B59, B11, B09, B61"
CJB,Air White,Billed Wt,36,41.77468045474989,"B35, C47, H70, B06, C13, C14, B59, C37, B11, B09, C30, B61, B07, C38, J03, H80, O04, C36, C22, C74, C48, O03, H71, L04, V58, O05, V08, C08, O02, M05, B26, M01, C15, O13, B58, B08"
CJB,Air White,Volume,31,46.937761691860075,"B35, C47, B06, C13, B59, B09, H70, B11, C37, B61, C14, B07, C22, C30, C38, C48, O04, O03, C36, C74, C08, O05, B26, H80, B58, O02, C02, B08, V58, V08, O12"
CJB,Ground,Billed Wt,48,60.50525422644526,"C22, C13, V58, B27, B07, C08, V08, C47, B35, C37, C48, C02, H37, C53, C14, B06, B61, B08, B59, C59, C30, C36, B09, C74, C15, B02, B16, V01, H17, C38, H53, O02, B11, B18, V09, H70, B05, B26, C57, H11, O04, C50, H10, B42, B50, H08, H80, V05"
CJB,Ground,Volume,6,13.766545219757425,"B35, C13, C47, C22, B07, B06"
COK,Air Red,Billed Wt,5,21.952118662445244,"L04, B35, B06, E21, B11"
COK,Air Red,Volume,7,20.190188679245292,"L04, B35, B06, E11, E21, B11, B01"
COK,Air White,Billed Wt,18,34.82203009207275,"E21, B01, B35, B06, E11, B59, B11, C13, B61, C47, B07, B09, B26, B08, E06, B58, C37, C36"
COK,Air White,Volume,21,43.188603038019096,"E21, B35, B01, B06, E11, B11, B59, B61, B09, C47, B07, B26, C13, E06, B08, B58, B02, C37, B18, E02, E23"
COK,Ground,Billed Wt,32,46.12471598081297,"B27, B35, B07, B01, B58, B08, B06, E21, B26, C30, B59, B11, B09, E06, C47, B61, L04, E11, C13, C37, H70, P04, C74, C08, C53, C36, C15, C48, N35, M08, K06, C14"
COK,Ground,Volume,5,12.896373843119381,"B35, B06, B01, E21, B07"
DDL,Air Red,Billed Wt,84,58.604713219265264,"M01, L04, B06, B35, M05, K81, H70, M48, B58, J03, A36, B07, J01, P04, M78, B09, K05, Q06, B08, X22, U10, K28, B59, M07, H08, V58, B11, T10, P12, U03, B26, M04, P24, M54, C13, B61, M08, U48, P50, M02, C47, Q01, I46, U139, P15, A24, L02, R32, M45, M35, R11, M61, Q17, C53, M59, S02, C36, U09, W52, M06, C14, S04, P19, J13, J02, J21, P27, K07, E21, Q02, A03, S01, H71, M68, B32, U143, I43, M47, O05, A46, M87, X10, U01, A11"
DDL,Air Red,Volume,83,53.96996754125943,"M01, B06, B35, H70, P04, J03, L04, A36, M78, J01, M07, L02, M05, B59, Q01, B58, X22, A46, Q17, B07, B09, B11, M08, P12, P24, M45, U03, S04, S02, P27, M47, U10, H08, M68, M87, B26, M48, M61, S01, Q06, H71, P15, P19, K05, M59, M02, U48, L27, J02, K39, T32, A03, M54, S09, U09, J13, M04, A24, V58, B61, C13, M06, Q02, U13, C47, A11, R32, J05, U139, E21, K07, S03, Q04, I42, I43, J21, I46, U143, A02, P22, H80, H09, C36"
DDL,Air White,Billed Wt,144,68.39606265025027,"B06, J03, M01, H70, L04, B35, U03, B59, J01, P04, M05, U10, J13, K05, Q06, A36, M07, X22, S04, B07, J02, L02, U09, B61, S01, M78, B58, K28, B11, S02, B26, B09, L27, J05, M47, U13, P24, P19, S09, A03, P12, M08, W52, H71, M61, H08, U06, U48, Q04, M45, J21, P27, C36, M48, Q02, U30, M54, B32, V58, J07, O02, C13, M02, J25, I46, P50, J26, S17, K07, U139, Q01, W02, B08, S27, X02, A24, P15, E21, R32, M59, H11, U02, A46, M46, L03, H09, C47, J08, A11, H80, M06, J18, S03, O12, X07, B02, U16, Q17, J04, S26, T03, L23, O05, U14, C14, H79, C74, U15, U01, C53, Q09, B01, V08, M39, K06, M04, P09, J19, K23, U143, P22, H48, Q03, O04, C37, A05, H10, J15, H74, I42, K74, K75, T32, K81, R11, I08, U07, M66, Q35, J16, O13, I43, T10, E06"
DDL,Air White,Volume,132,67.83646594103033,"J03, S04, L02, U03, S02, S09, M01, U10, L04, J02, J01, B06, S01, U09, M07, A36, J13, B35, H70, P04, J05, L27, U13, A46, U30, S27, Q01, M47, Q17, J25, S03, J26, M05, S17, M78, B59, Q06, M08, X22, J21, J07, J08, M45, Q02, J04, U48, U06, P24, P19, B07, L03, A03, A11, Q04, J18, B11, U139, U16, P27, U02, P12, M61, K05, S26, B09, L23, U14, B58, H71, A24, T32, M54, R32, U15, P15, B61, M59, V58, B26, M46, U01, M06, M02, J15, I42, H08, H11, M87, E21, U130, C47, U07, Q03, O02, H80, J16, U143, K39, C13, Q09, K07, W52, J19, I46, M68, H09, T03, Q34, U25, A48, Q35, H79, M48, B02, B32, I43, M39, J54, W02, U23, B08, V08, P22, B01, U19, H07, I08, O05, P09, K06, H74, P50"
