org_branch_code,service_type,type,sum
J16,Air White,Billed Wt,273.12
J16,Ground,Volume,90.56
J16,Ground,Billed Wt,441.04
J17,Air Red,Volume,5.4
J17,Air Red,Billed Wt,10.12
J17,Air White,Volume,119.64
J17,Air White,Billed Wt,126.68
J17,Ground,Volume,43.88
J17,Ground,Billed Wt,436.44
J18,Air Red,Volume,31.88
J18,Air Red,Billed Wt,65.96
J18,Air White,Volume,475.0
J18,Air White,Billed Wt,478.04
J18,Ground,Volume,67.52
J18,Ground,Billed Wt,548.52
J19,Air Red,Volume,5.76
J19,Air Red,Billed Wt,18.76
J19,Air White,Volume,103.48
J19,Air White,Billed Wt,113.96
J19,Ground,Volume,44.0
J19,Ground,Billed Wt,347.84
J20,Air Red,Volume,7.68
J20,Air Red,Billed Wt,9.68
J20,Air White,Volume,73.2
J20,Air White,Billed Wt,101.08
J20,Ground,Volume,24.92
J20,Ground,Billed Wt,378.28
J21,Air Red,Volume,73.44
J21,Air Red,Billed Wt,92.28
J21,Air White,Volume,601.2
J21,Air White,Billed Wt,669.32
J21,Ground,Volume,169.56
J21,Ground,Billed Wt,1503.68
J25,Air Red,Volume,40.4
J25,Air Red,Billed Wt,100.32
J25,Air White,Volume,794.24
J25,Air White,Billed Wt,1014.64
J25,Ground,Volume,159.4
J25,Ground,Billed Wt,1459.32
J26,Air Red,Volume,133.52
J26,Air Red,Billed Wt,581.24
J26,Air White,Volume,1254.92
J26,Air White,Billed Wt,1751.76
J26,Ground,Volume,480.28
J26,Ground,Billed Wt,4810.36
J36,Air Red,Volume,3.4
J36,Air Red,Billed Wt,5.52
J36,Air White,Volume,148.8
J36,Air White,Billed Wt,187.4
J36,Ground,Volume,31.8
J36,Ground,Billed Wt,245.76
J37,Air Red,Volume,41.52
J37,Air Red,Billed Wt,100.96
J37,Air White,Volume,420.72
J37,Air White,Billed Wt,537.6
J37,Ground,Volume,122.6
J37,Ground,Billed Wt,1181.56
J39,Air Red,Volume,4.4
J39,Air Red,Billed Wt,9.56
J39,Air White,Volume,49.72
J39,Air White,Billed Wt,92.8
J39,Ground,Volume,31.12
J39,Ground,Billed Wt,347.8
J48,Air Red,Volume,20.72
J48,Air Red,Billed Wt,15.28
J48,Air White,Volume,157.8
J48,Air White,Billed Wt,150.52
J48,Ground,Volume,16.8
J48,Ground,Billed Wt,130.44
J50,Air Red,Volume,30.28
J50,Air Red,Billed Wt,54.04
J50,Air White,Volume,238.88
J50,Air White,Billed Wt,265.04
J50,Ground,Volume,114.84
J50,Ground,Billed Wt,1044.48
J54,Air Red,Volume,15.56
J54,Air Red,Billed Wt,72.4
J54,Air White,Volume,108.56
J54,Air White,Billed Wt,146.44
J54,Ground,Volume,12.0
J54,Ground,Billed Wt,280.28
K01,Air Red,Volume,336.24
K01,Air Red,Billed Wt,567.08
K01,Air White,Volume,810.88
K01,Air White,Billed Wt,699.2
K01,Ground,Volume,63.72
K01,Ground,Billed Wt,139.32
K02,Air White,Volume,1.12
K02,Air White,Billed Wt,19.24
K02,Ground,Volume,0.16
K02,Ground,Billed Wt,13.2
K03,Air Red,Volume,18.0
K03,Air Red,Billed Wt,26.44
K03,Air White,Volume,115.4
K03,Air White,Billed Wt,133.64
K03,Ground,Volume,10.8
K03,Ground,Billed Wt,163.96
K04,Air Red,Volume,387.52
K04,Air Red,Billed Wt,447.56
K04,Air White,Volume,485.88
K04,Air White,Billed Wt,733.2
K04,Ground,Volume,128.32
K04,Ground,Billed Wt,1433.32
K05,Air Red,Volume,232.88
K05,Air Red,Billed Wt,433.76
K05,Air White,Volume,906.72
K05,Air White,Billed Wt,1198.44
K05,Ground,Volume,178.4
K05,Ground,Billed Wt,2946.04
K06,Air Red,Volume,113.24
K06,Air Red,Billed Wt,114.08
K06,Air White,Volume,547.96
K06,Air White,Billed Wt,608.08
K06,Ground,Volume,104.64
K06,Ground,Billed Wt,1138.04
K07,Air Red,Volume,173.04
K07,Air Red,Billed Wt,382.56
K07,Air White,Volume,354.12
K07,Air White,Billed Wt,558.92
K07,Ground,Volume,149.04
K07,Ground,Billed Wt,3302.64
K08,Air Red,Volume,114.04
K08,Air Red,Billed Wt,105.8
K08,Air White,Volume,895.48
K08,Air White,Billed Wt,981.6
K08,Ground,Volume,78.4
K08,Ground,Billed Wt,1084.88
K104,Air Red,Volume,0.08
K104,Air Red,Billed Wt,0.48
K104,Ground,Volume,0.28
K104,Ground,Billed Wt,3.6
K119,Air Red,Volume,0.32
K119,Air Red,Billed Wt,1.52
K119,Air White,Volume,10.44
K119,Air White,Billed Wt,20.36
K119,Ground,Volume,6.44
K119,Ground,Billed Wt,115.24
K129,Air Red,Volume,36.24
K129,Air Red,Billed Wt,58.04
K129,Air White,Volume,82.0
K129,Air White,Billed Wt,109.84
K129,Ground,Volume,56.24
K129,Ground,Billed Wt,551.84
K14,Air Red,Volume,38.04
K14,Air Red,Billed Wt,71.4
K14,Air White,Volume,99.76
K14,Air White,Billed Wt,142.0
K14,Ground,Volume,37.8
K14,Ground,Billed Wt,545.36
K15,Air Red,Volume,113.96
K15,Air Red,Billed Wt,173.64
K15,Air White,Volume,173.8
K15,Air White,Billed Wt,306.88
K15,Ground,Volume,78.04
K15,Ground,Billed Wt,1400.12
K22,Air Red,Volume,9.88
K22,Air Red,Billed Wt,22.04
K22,Air White,Volume,159.68
K22,Air White,Billed Wt,132.88
K22,Ground,Volume,44.96
K22,Ground,Billed Wt,743.08
K23,Air Red,Volume,13.84
K23,Air Red,Billed Wt,27.6
K23,Air White,Volume,84.56
K23,Air White,Billed Wt,96.0
K23,Ground,Volume,40.88
K23,Ground,Billed Wt,796.48
K27,Air Red,Volume,6.48
K27,Air Red,Billed Wt,7.04
K27,Air White,Volume,10.0
K27,Air White,Billed Wt,12.6
K27,Ground,Volume,6.12
K27,Ground,Billed Wt,141.04
K28,Air Red,Volume,79.08
K28,Air Red,Billed Wt,232.32
K28,Air White,Volume,108.2
K28,Air White,Billed Wt,1020.76
K28,Ground,Volume,589.08
K28,Ground,Billed Wt,7800.24
K29,Air Red,Volume,0.48
K29,Air Red,Billed Wt,2.36
K29,Air White,Volume,3.68
K29,Air White,Billed Wt,6.56
K29,Ground,Volume,3.52
K29,Ground,Billed Wt,79.56
K32,Air Red,Volume,11.84
K32,Air Red,Billed Wt,20.56
K32,Air White,Volume,51.24
K32,Air White,Billed Wt,75.84
K32,Ground,Volume,46.96
K32,Ground,Billed Wt,633.44
K37,Air Red,Volume,34.64
K37,Air Red,Billed Wt,35.96
K37,Air White,Volume,208.44
K37,Air White,Billed Wt,235.64
K37,Ground,Volume,43.44
K37,Ground,Billed Wt,491.4
K39,Air Red,Volume,394.4
K39,Air Red,Billed Wt,706.0
K39,Air White,Volume,695.68
K39,Air White,Billed Wt,594.0
K39,Ground,Volume,80.16
K39,Ground,Billed Wt,242.76
K40,Air Red,Volume,22.08
K40,Air Red,Billed Wt,38.64
K40,Air White,Volume,244.36
K40,Air White,Billed Wt,202.84
K40,Ground,Volume,44.08
K40,Ground,Billed Wt,1348.6
K45,Air Red,Volume,37.52
K45,Air Red,Billed Wt,55.88
K45,Air White,Volume,234.0
K45,Air White,Billed Wt,210.72
K45,Ground,Volume,73.64
K45,Ground,Billed Wt,850.0
K51,Air Red,Volume,1.28
K51,Air Red,Billed Wt,6.8
K51,Air White,Volume,5.96
K51,Air White,Billed Wt,9.16
K51,Ground,Volume,2.56
K51,Ground,Billed Wt,44.04
K54,Air Red,Volume,91.08
K54,Air Red,Billed Wt,200.72
K54,Air White,Volume,1383.04
K54,Air White,Billed Wt,1818.2
K54,Ground,Volume,63.04
K54,Ground,Billed Wt,2142.16
K56,Air Red,Volume,0.36
K56,Air Red,Billed Wt,0.6
K56,Air White,Volume,4.2
K56,Air White,Billed Wt,14.0
K63,Air Red,Volume,35.8
K63,Air Red,Billed Wt,36.8
K63,Air White,Volume,93.88
K63,Air White,Billed Wt,83.04
K63,Ground,Volume,21.84
K63,Ground,Billed Wt,417.0
K68,Air Red,Volume,206.28
K68,Air Red,Billed Wt,428.4
K68,Air White,Volume,390.0
K68,Air White,Billed Wt,453.44
K68,Ground,Volume,86.64
K68,Ground,Billed Wt,740.92
K72,Air Red,Volume,456.4
K72,Air Red,Billed Wt,1331.36
K72,Air White,Volume,298.0
K72,Air White,Billed Wt,652.44
K72,Ground,Volume,496.64
K72,Ground,Billed Wt,13468.48
K74,Air Red,Volume,83.24
K74,Air Red,Billed Wt,123.52
K74,Air White,Volume,496.88
K74,Air White,Billed Wt,559.28
K74,Ground,Volume,165.88
K74,Ground,Billed Wt,2136.8
K75,Air Red,Volume,359.88
K75,Air Red,Billed Wt,371.48
K75,Air White,Volume,849.76
K75,Air White,Billed Wt,934.32
K75,Ground,Volume,81.4
K75,Ground,Billed Wt,1274.2
K79,Air Red,Volume,33.04
K79,Air Red,Billed Wt,30.12
K79,Air White,Volume,61.36
K79,Air White,Billed Wt,147.48
K79,Ground,Volume,23.84
K79,Ground,Billed Wt,318.92
K81,Air Red,Volume,221.44
K81,Air Red,Billed Wt,283.52
K81,Air White,Volume,460.52
K81,Air White,Billed Wt,600.16
K81,Ground,Volume,172.48
K81,Ground,Billed Wt,2443.32
K82,Air Red,Volume,0.36
K82,Air Red,Billed Wt,2.24
K82,Air White,Volume,4.56
K82,Air White,Billed Wt,6.12
K82,Ground,Volume,2.04
K82,Ground,Billed Wt,24.0
K84,Air Red,Volume,0.24
K84,Air Red,Billed Wt,0.36
K84,Air White,Volume,0.72
K84,Air White,Billed Wt,1.2
K84,Ground,Volume,2.04
K84,Ground,Billed Wt,10.24
K85,Air Red,Volume,47.04
K85,Air Red,Billed Wt,75.68
K85,Air White,Volume,408.36
K85,Air White,Billed Wt,367.28
K85,Ground,Volume,98.16
K85,Ground,Billed Wt,1348.96
K88,Air Red,Volume,296.84
K88,Air Red,Billed Wt,501.8
K88,Air White,Volume,466.52
K88,Air White,Billed Wt,587.8
K88,Ground,Volume,61.72
K88,Ground,Billed Wt,85.52
K89,Air Red,Volume,10.6
K89,Air Red,Billed Wt,17.24
K89,Air White,Volume,62.28
K89,Air White,Billed Wt,68.6
K89,Ground,Volume,19.44
K89,Ground,Billed Wt,205.8
L02,Air Red,Volume,289.72
L02,Air Red,Billed Wt,560.16
L02,Air White,Volume,411.0
L02,Air White,Billed Wt,719.56
L02,Ground,Volume,277.72
L02,Ground,Billed Wt,1510.28
L03,Air Red,Volume,371.36
L03,Air Red,Billed Wt,630.28
L03,Air White,Volume,741.52
L03,Air White,Billed Wt,1151.96
L03,Ground,Volume,302.4
L03,Ground,Billed Wt,3263.04
L04,Air Red,Volume,2394.96
L04,Air Red,Billed Wt,3741.36
L04,Air White,Volume,1931.8
L04,Air White,Billed Wt,3404.12
L04,Ground,Volume,1007.2
L04,Ground,Billed Wt,9117.4
L05,Air Red,Volume,114.96
L05,Air Red,Billed Wt,264.28
L05,Air White,Volume,214.56
L05,Air White,Billed Wt,325.6
L05,Ground,Volume,98.56
L05,Ground,Billed Wt,1249.64
L23,Air Red,Volume,408.6
L23,Air Red,Billed Wt,1013.32
L23,Air White,Volume,565.88
L23,Air White,Billed Wt,815.4
L23,Ground,Volume,198.52
L23,Ground,Billed Wt,2011.0
L27,Air Red,Volume,317.28
L27,Air Red,Billed Wt,575.28
L27,Air White,Volume,955.92
L27,Air White,Billed Wt,2409.88
L27,Ground,Volume,204.28
L27,Ground,Billed Wt,2302.84
L28,Air Red,Volume,0.2
L28,Air Red,Billed Wt,1.44
L28,Air White,Volume,15.08
L28,Air White,Billed Wt,21.12
L28,Ground,Volume,1.88
L28,Ground,Billed Wt,35.76
M01,Air Red,Volume,660.04
M01,Air Red,Billed Wt,1077.76
M01,Air White,Volume,2114.12
M01,Air White,Billed Wt,3491.8
M01,Ground,Volume,449.28
M01,Ground,Billed Wt,2516.12
M02,Air Red,Volume,438.68
M02,Air Red,Billed Wt,339.08
M02,Air White,Volume,868.36
M02,Air White,Billed Wt,1418.76
M02,Ground,Volume,204.44
M02,Ground,Billed Wt,1231.12
M04,Air Red,Volume,144.08
M04,Air Red,Billed Wt,343.2
M04,Air White,Volume,513.52
M04,Air White,Billed Wt,960.52
M04,Ground,Volume,355.56
M04,Ground,Billed Wt,2462.84
M05,Air Red,Volume,479.4
M05,Air Red,Billed Wt,545.28
M05,Air White,Volume,943.56
M05,Air White,Billed Wt,1429.44
M05,Ground,Volume,450.84
M05,Ground,Billed Wt,2481.76
M06,Air Red,Volume,335.24
M06,Air Red,Billed Wt,404.72
M06,Air White,Volume,565.8
M06,Air White,Billed Wt,999.08
M06,Ground,Volume,123.24
M06,Ground,Billed Wt,1042.96
M07,Air Red,Volume,227.28
M07,Air Red,Billed Wt,455.52
M07,Air White,Volume,739.84
M07,Air White,Billed Wt,1355.6
M07,Ground,Volume,166.56
M07,Ground,Billed Wt,1146.92
M08,Air Red,Volume,695.4
M08,Air Red,Billed Wt,699.44
M08,Air White,Volume,861.36
M08,Air White,Billed Wt,1389.76
M08,Ground,Volume,304.64
M08,Ground,Billed Wt,2365.76
M35,Air Red,Volume,747.2
M35,Air Red,Billed Wt,1160.68
M35,Air White,Volume,1255.72
M35,Air White,Billed Wt,1721.36
M35,Ground,Volume,883.84
M35,Ground,Billed Wt,11346.0
M39,Air Red,Volume,79.56
M39,Air Red,Billed Wt,152.44
M39,Air White,Volume,318.76
M39,Air White,Billed Wt,690.76
M39,Ground,Volume,133.0
M39,Ground,Billed Wt,1141.12
M45,Air Red,Volume,213.36
M45,Air Red,Billed Wt,237.08
M45,Air White,Volume,484.52
M45,Air White,Billed Wt,716.64
M45,Ground,Volume,95.4
M45,Ground,Billed Wt,1278.68
M46,Air Red,Volume,296.36
M46,Air Red,Billed Wt,937.84
M46,Air White,Volume,851.2
M46,Air White,Billed Wt,1679.24
M46,Ground,Volume,203.76
M46,Ground,Billed Wt,3054.84
M47,Air Red,Volume,183.92
M47,Air Red,Billed Wt,223.0
M47,Air White,Volume,521.56
M47,Air White,Billed Wt,672.0
M47,Ground,Volume,144.0
M47,Ground,Billed Wt,1113.12
M48,Air Red,Volume,392.96
M48,Air Red,Billed Wt,540.16
M48,Air White,Volume,742.56
M48,Air White,Billed Wt,1976.4
M48,Ground,Volume,294.76
M48,Ground,Billed Wt,2163.12
M54,Air Red,Volume,298.36
M54,Air Red,Billed Wt,491.52
M54,Air White,Volume,786.24
M54,Air White,Billed Wt,1144.4
M54,Ground,Volume,1298.6
M54,Ground,Billed Wt,4406.56
M57,Air Red,Volume,11.96
M57,Air Red,Billed Wt,61.96
M57,Air White,Volume,147.24
M57,Air White,Billed Wt,550.04
M57,Ground,Volume,101.0
M57,Ground,Billed Wt,1152.92
M59,Air Red,Volume,157.2
M59,Air Red,Billed Wt,239.48
M59,Air White,Volume,308.56
M59,Air White,Billed Wt,347.32
M59,Ground,Volume,166.4
M59,Ground,Billed Wt,752.52
M61,Air Red,Volume,234.4
M61,Air Red,Billed Wt,386.56
M61,Air White,Volume,499.4
M61,Air White,Billed Wt,687.52
M61,Ground,Volume,81.28
M61,Ground,Billed Wt,743.84
M63,Air Red,Volume,0.2
M63,Air Red,Billed Wt,0.28
M63,Air White,Volume,0.32
M63,Air White,Billed Wt,1.28
M63,Ground,Volume,0.76
M63,Ground,Billed Wt,2.12
M66,Air Red,Volume,177.92
M66,Air Red,Billed Wt,507.44
M66,Air White,Volume,425.96
M66,Air White,Billed Wt,667.04
M66,Ground,Volume,259.96
M66,Ground,Billed Wt,2123.24
M75,Air Red,Volume,899.64
M75,Air Red,Billed Wt,1161.8
M75,Air White,Volume,2202.16
M75,Air White,Billed Wt,2833.56
M75,Ground,Volume,539.32
M75,Ground,Billed Wt,4857.36
M78,Air Red,Volume,179.72
M78,Air Red,Billed Wt,230.0
M78,Air White,Volume,498.56
M78,Air White,Billed Wt,619.52
M78,Ground,Volume,88.2
M78,Ground,Billed Wt,727.6
M85,Air Red,Volume,9.88
M85,Air Red,Billed Wt,25.84
M85,Air White,Volume,284.92
M85,Air White,Billed Wt,274.0
M85,Ground,Volume,47.04
M85,Ground,Billed Wt,266.32
M87,Air Red,Volume,31.12
M87,Air Red,Billed Wt,42.76
M87,Air White,Volume,111.72
M87,Air White,Billed Wt,120.72
M87,Ground,Volume,11.4
M87,Ground,Billed Wt,102.28
N02,Air Red,Volume,279.68
N02,Air Red,Billed Wt,352.16
N02,Air White,Volume,1904.52
N02,Air White,Billed Wt,2366.6
N02,Ground,Volume,1493.96
N02,Ground,Billed Wt,7935.96
N03,Air Red,Volume,379.56
N03,Air Red,Billed Wt,834.6
N03,Air White,Volume,1576.56
N03,Air White,Billed Wt,2514.52
N03,Ground,Volume,858.04
N03,Ground,Billed Wt,8020.0
N09,Air Red,Volume,460.84
N09,Air Red,Billed Wt,683.68
N09,Air White,Volume,1473.44
N09,Air White,Billed Wt,2448.4
N09,Ground,Volume,645.88
N09,Ground,Billed Wt,4647.36
N10,Air Red,Volume,389.92
N10,Air Red,Billed Wt,394.6
N10,Air White,Volume,1658.84
N10,Air White,Billed Wt,2892.16
N10,Ground,Volume,754.92
N10,Ground,Billed Wt,6197.12
N11,Air Red,Volume,461.04
N11,Air Red,Billed Wt,504.24
N11,Air White,Volume,3020.72
N11,Air White,Billed Wt,4257.76
N11,Ground,Volume,1775.16
N11,Ground,Billed Wt,6237.48
N15,Air Red,Volume,307.88
N15,Air Red,Billed Wt,258.52
N15,Air White,Volume,789.4
N15,Air White,Billed Wt,1126.76
N15,Ground,Volume,240.08
N15,Ground,Billed Wt,1402.0
N17,Air Red,Volume,702.04
N17,Air Red,Billed Wt,712.72
N17,Air White,Volume,3129.52
N17,Air White,Billed Wt,4580.12
N17,Ground,Volume,1377.4
N17,Ground,Billed Wt,7564.48
N31,Air Red,Volume,565.16
N31,Air Red,Billed Wt,1059.68
N31,Air White,Volume,436.0
N31,Air White,Billed Wt,1175.6
N31,Ground,Volume,197.52
N31,Ground,Billed Wt,2794.6
N32,Air Red,Volume,345.52
N32,Air Red,Billed Wt,1018.44
N32,Air White,Volume,1315.2
N32,Air White,Billed Wt,2412.44
N32,Ground,Volume,619.88
N32,Ground,Billed Wt,5108.88
N33,Air Red,Volume,140.28
N33,Air Red,Billed Wt,302.08
N33,Air White,Volume,2353.04
N33,Air White,Billed Wt,2984.8
N33,Ground,Volume,1250.24
N33,Ground,Billed Wt,7807.44
N35,Air Red,Volume,199.08
N35,Air Red,Billed Wt,405.56
N35,Air White,Volume,416.88
N35,Air White,Billed Wt,1281.72
N35,Ground,Volume,263.8
N35,Ground,Billed Wt,2211.56
N37,Air Red,Volume,125.52
N37,Air Red,Billed Wt,126.96
N37,Air White,Volume,353.12
N37,Air White,Billed Wt,418.68
N37,Ground,Volume,162.8
N37,Ground,Billed Wt,1324.2
N38,Air Red,Volume,77.96
N38,Air Red,Billed Wt,221.16
N38,Air White,Volume,334.56
N38,Air White,Billed Wt,954.16
N38,Ground,Volume,40.24
N38,Ground,Billed Wt,396.64
N42,Air Red,Volume,53.48
N42,Air Red,Billed Wt,65.6
N42,Air White,Volume,220.56
N42,Air White,Billed Wt,283.2
N42,Ground,Volume,90.24
N42,Ground,Billed Wt,470.04
O01,Air Red,Volume,1827.72
O01,Air Red,Billed Wt,1210.48
O01,Air White,Volume,895.52
O01,Air White,Billed Wt,712.32
O01,Ground,Volume,85.64
O01,Ground,Billed Wt,682.16
O02,Air Red,Volume,474.96
O02,Air Red,Billed Wt,396.68
O02,Air White,Volume,1955.56
O02,Air White,Billed Wt,1887.44
O02,Ground,Volume,278.44
O02,Ground,Billed Wt,2929.92
O03,Air Red,Volume,168.32
O03,Air Red,Billed Wt,209.08
O03,Air White,Volume,1882.6
O03,Air White,Billed Wt,1466.8
O03,Ground,Volume,138.76
O03,Ground,Billed Wt,1863.24
O04,Air Red,Volume,187.32
O04,Air Red,Billed Wt,186.12
O04,Air White,Volume,2701.44
O04,Air White,Billed Wt,2630.2
O04,Ground,Volume,364.08
O04,Ground,Billed Wt,3397.12
O05,Air Red,Volume,210.64
O05,Air Red,Billed Wt,290.36
O05,Air White,Volume,890.44
O05,Air White,Billed Wt,941.04
O05,Ground,Volume,133.48
O05,Ground,Billed Wt,1595.04
O07,Air Red,Volume,97.68
O07,Air Red,Billed Wt,120.56
O07,Air White,Volume,1117.64
O07,Air White,Billed Wt,1254.72
O07,Ground,Volume,233.52
O07,Ground,Billed Wt,2716.92
O08,Air Red,Volume,65.72
O08,Air Red,Billed Wt,76.48
O08,Air White,Volume,996.12
O08,Air White,Billed Wt,887.28
O08,Ground,Volume,124.24
O08,Ground,Billed Wt,1144.64
O09,Air Red,Volume,81.36
O09,Air Red,Billed Wt,94.6
O09,Air White,Volume,1180.88
O09,Air White,Billed Wt,1084.72
O09,Ground,Volume,116.88
O09,Ground,Billed Wt,1044.28
O11,Air Red,Volume,273.08
O11,Air Red,Billed Wt,154.92
O11,Air White,Volume,618.52
O11,Air White,Billed Wt,628.92
O11,Ground,Volume,115.44
O11,Ground,Billed Wt,1115.6
O12,Air Red,Volume,274.76
O12,Air Red,Billed Wt,188.08
O12,Air White,Volume,3800.4
O12,Air White,Billed Wt,2807.6
O12,Ground,Volume,224.76
O12,Ground,Billed Wt,2257.2
O13,Air Red,Volume,109.08
O13,Air Red,Billed Wt,166.16
O13,Air White,Volume,1708.52
O13,Air White,Billed Wt,1470.76
O13,Ground,Volume,188.8
O13,Ground,Billed Wt,1878.24
O14,Air Red,Volume,181.8
O14,Air Red,Billed Wt,163.96
O14,Air White,Volume,187.96
O14,Air White,Billed Wt,185.84
O14,Ground,Volume,22.2
O14,Ground,Billed Wt,221.96
O17,Air Red,Volume,0.88
O17,Air Red,Billed Wt,2.56
O17,Air White,Volume,1.12
O17,Air White,Billed Wt,2.88
O17,Ground,Volume,0.08
O17,Ground,Billed Wt,1.32
O21,Air Red,Volume,6.08
O21,Air Red,Billed Wt,9.8
O21,Air White,Volume,920.2
O21,Air White,Billed Wt,776.32
O21,Ground,Volume,84.4
O21,Ground,Billed Wt,589.68
O23,Air Red,Volume,6.88
O23,Air Red,Billed Wt,14.4
O23,Air White,Volume,12.12
O23,Air White,Billed Wt,18.16
O23,Ground,Volume,4.68
O23,Ground,Billed Wt,30.2
O25,Air Red,Volume,65.84
O25,Air Red,Billed Wt,45.24
O25,Air White,Volume,719.32
O25,Air White,Billed Wt,659.32
O25,Ground,Volume,56.4
O25,Ground,Billed Wt,475.04
O60,Air Red,Volume,58.76
O60,Air Red,Billed Wt,71.48
O60,Air White,Volume,758.36
O60,Air White,Billed Wt,545.4
O60,Ground,Volume,88.68
O60,Ground,Billed Wt,714.12
O88,Air Red,Volume,27.44
O88,Air Red,Billed Wt,35.6
O88,Air White,Volume,590.8
O88,Air White,Billed Wt,517.6
O88,Ground,Volume,77.68
O88,Ground,Billed Wt,578.72
O89,Air Red,Volume,385.28
O89,Air Red,Billed Wt,386.76
O89,Air White,Volume,483.8
O89,Air White,Billed Wt,353.88
O89,Ground,Volume,40.96
O89,Ground,Billed Wt,297.52
O90,Air Red,Volume,12.36
O90,Air Red,Billed Wt,28.2
O90,Air White,Volume,360.72
O90,Air White,Billed Wt,354.12
O90,Ground,Volume,65.68
O90,Ground,Billed Wt,569.52
O93,Air Red,Volume,25.84
O93,Air Red,Billed Wt,15.08
O93,Air White,Volume,121.64
O93,Air White,Billed Wt,92.72
O93,Ground,Volume,6.6
O93,Ground,Billed Wt,56.28
P04,Air Red,Volume,186.28
P04,Air Red,Billed Wt,313.72
P04,Air White,Volume,797.84
P04,Air White,Billed Wt,1497.36
P04,Ground,Volume,469.32
P04,Ground,Billed Wt,3130.6
P06,Air Red,Volume,5.12
P06,Air Red,Billed Wt,10.16
P06,Air White,Volume,78.2
P06,Air White,Billed Wt,119.68
P06,Ground,Volume,39.88
P06,Ground,Billed Wt,293.6
P08,Air Red,Volume,5.28
P08,Air Red,Billed Wt,6.24
P08,Air White,Volume,92.0
P08,Air White,Billed Wt,139.12
P08,Ground,Volume,46.32
P08,Ground,Billed Wt,262.4
P09,Air Red,Volume,31.48
P09,Air Red,Billed Wt,39.4
P09,Air White,Volume,230.04
P09,Air White,Billed Wt,390.84
P09,Ground,Volume,128.36
P09,Ground,Billed Wt,2121.24
P10,Air Red,Volume,9.04
P10,Air Red,Billed Wt,13.92
P10,Air White,Volume,158.24
P10,Air White,Billed Wt,238.2
P10,Ground,Volume,56.12
P10,Ground,Billed Wt,445.8
P11,Air Red,Volume,69.08
P11,Air Red,Billed Wt,140.36
P11,Air White,Volume,537.6
P11,Air White,Billed Wt,530.28
P11,Ground,Volume,85.28
P11,Ground,Billed Wt,807.8
P12,Air Red,Volume,154.56
P12,Air Red,Billed Wt,342.88
P12,Air White,Volume,520.24
P12,Air White,Billed Wt,793.64
P12,Ground,Volume,803.36
P12,Ground,Billed Wt,2177.16
P13,Air Red,Volume,30.16
P13,Air Red,Billed Wt,25.4
P13,Air White,Volume,63.48
P13,Air White,Billed Wt,102.68
P13,Ground,Volume,46.52
P13,Ground,Billed Wt,267.16
P15,Air Red,Volume,787.6
P15,Air Red,Billed Wt,1121.72
P15,Air White,Volume,819.0
P15,Air White,Billed Wt,1048.72
P15,Ground,Volume,186.72
P15,Ground,Billed Wt,1848.12
P16,Air Red,Volume,5.44
P16,Air Red,Billed Wt,9.04
P16,Air White,Volume,37.0
P16,Air White,Billed Wt,44.8
P16,Ground,Volume,20.64
P16,Ground,Billed Wt,143.16
P17,Air Red,Volume,1.6
P17,Air Red,Billed Wt,1.04
P17,Air White,Volume,37.8
P17,Air White,Billed Wt,34.2
P17,Ground,Volume,26.0
P17,Ground,Billed Wt,212.04
P19,Air Red,Volume,197.28
P19,Air Red,Billed Wt,350.56
P19,Air White,Volume,523.92
P19,Air White,Billed Wt,1012.04
P19,Ground,Volume,176.36
P19,Ground,Billed Wt,1724.04
P20,Air Red,Volume,3.8
P20,Air Red,Billed Wt,6.2
P20,Air White,Volume,45.84
P20,Air White,Billed Wt,63.72
P20,Ground,Volume,21.36
P20,Ground,Billed Wt,151.28
P21,Air Red,Volume,1.4
P21,Air Red,Billed Wt,1.88
P21,Air White,Volume,2.04
P21,Air White,Billed Wt,5.8
P21,Ground,Volume,2.56
P21,Ground,Billed Wt,19.24
P22,Air Red,Volume,90.36
P22,Air Red,Billed Wt,143.44
P22,Air White,Volume,537.92
P22,Air White,Billed Wt,639.88
P22,Ground,Volume,218.64
P22,Ground,Billed Wt,1890.36
P24,Air Red,Volume,115.56
P24,Air Red,Billed Wt,238.36
P24,Air White,Volume,461.6
P24,Air White,Billed Wt,718.44
P24,Ground,Volume,141.6
P24,Ground,Billed Wt,967.4
P25,Air Red,Volume,4.12
P25,Air Red,Billed Wt,11.72
P25,Air White,Volume,63.84
P25,Air White,Billed Wt,135.68
P25,Ground,Volume,32.48
P25,Ground,Billed Wt,381.44
P26,Air Red,Volume,0.6
P26,Air Red,Billed Wt,0.24
P26,Air White,Volume,6.56
P26,Air White,Billed Wt,11.0
P26,Ground,Volume,3.28
P26,Ground,Billed Wt,22.56
P27,Air Red,Volume,382.4
P27,Air Red,Billed Wt,360.2
P27,Air White,Volume,544.76
P27,Air White,Billed Wt,718.56
P27,Ground,Volume,182.76
P27,Ground,Billed Wt,1030.88
P28,Air Red,Volume,0.6
P28,Air Red,Billed Wt,1.04
P28,Air White,Volume,17.72
P28,Air White,Billed Wt,16.32
P29,Air Red,Volume,0.72
P29,Air Red,Billed Wt,0.72
P29,Air White,Volume,5.12
P29,Air White,Billed Wt,12.48
P29,Ground,Volume,3.88
P29,Ground,Billed Wt,27.68
P32,Air Red,Volume,1.0
P32,Air Red,Billed Wt,2.92
P32,Air White,Volume,11.36
P32,Air White,Billed Wt,21.08
