Type,Origin_Region,Destination_Region,Total_Flow_Units,Optimal_Flow_Units,Non_Optimal_Flow_Units,Optimal_Flow_Percentage,Non_Optimal_Flow_Percentage
Billed Wt,PAT,CCU,914.0,337.48,576.52,36.92,63.08
Billed Wt,PAT,CHE,204.36,0.0,204.36,0.0,100.0
Billed Wt,PAT,CJB,58.080000000000005,0.0,58.080000000000005,0.0,100.0
Billed Wt,PAT,COK,61.43999999999999,0.0,61.43999999999999,0.0,100.0
Billed Wt,PAT,DDL,617.92,244.48000000000002,373.44,39.56,60.44
Billed Wt,PAT,GAU,137.16000000000005,0.0,137.16000000000005,0.0,100.0
Billed Wt,PAT,HHPT,170.47999999999993,0.0,170.47999999999993,0.0,100.0
Billed Wt,PAT,HYD,306.96,102.4,204.56,33.36,66.64
Billed Wt,PAT,IDR,157.84,0.0,157.84,0.0,100.0
Billed Wt,PAT,JAI,149.63999999999996,0.0,149.63999999999996,0.0,100.0
Billed Wt,PAT,MUM,472.0400000000001,46.52,425.52000000000004,9.86,90.14
Billed Wt,PAT,NGP,94.44000000000001,0.0,94.44000000000001,0.0,100.0
Billed Wt,PAT,PAT,0.0,0.0,0.0,0.0,0.0
Billed Wt,PAT,PNQ,329.76,73.52,256.24,22.3,77.7
Billed Wt,PAT,UPT,401.32,105.52000000000001,295.79999999999995,26.29,73.71
Billed Wt,PAT,VJA,80.60000000000001,0.0,80.60000000000001,0.0,100.0
Billed Wt,PNQ,AMD,1902.8400000000004,915.76,987.0800000000002,48.13,51.87
Billed Wt,PNQ,BBI,957.5199999999999,312.24,645.2799999999999,32.61,67.39
Billed Wt,PNQ,BLR,4449.039999999999,2307.12,2141.9199999999996,51.86,48.14
Billed Wt,PNQ,CCU,2509.799999999999,1199.5600000000002,1310.24,47.8,52.2
Billed Wt,PNQ,CHE,2114.4,717.0799999999999,1397.3200000000004,33.91,66.09
Billed Wt,PNQ,CJB,710.6800000000001,196.0,514.6800000000001,27.58,72.42
Billed Wt,PNQ,COK,885.2,192.64,692.5600000000002,21.76,78.24
Billed Wt,PNQ,DDL,1714.6800000000003,381.68,1333.0000000000005,22.26,77.74
Billed Wt,PNQ,GAU,613.5600000000002,89.96,523.6000000000001,14.66,85.34
Billed Wt,PNQ,HHPT,1686.3999999999999,115.56,1570.84,6.85,93.15
Billed Wt,PNQ,HYD,1946.4800000000002,310.48,1635.9999999999998,15.95,84.05
Billed Wt,PNQ,IDR,2143.7200000000003,1441.96,701.76,67.26,32.74
Billed Wt,PNQ,JAI,1404.0799999999997,273.0,1131.08,19.44,80.56
Billed Wt,PNQ,MUM,5072.6,3569.44,1503.1599999999999,70.37,29.63
Billed Wt,PNQ,NGP,1900.0400000000004,1088.3600000000001,811.6800000000001,57.28,42.72
Billed Wt,PNQ,PAT,942.9600000000005,0.0,942.9600000000005,0.0,100.0
Billed Wt,PNQ,PNQ,0.0,0.0,0.0,0.0,0.0
Billed Wt,PNQ,UPT,2056.5999999999995,217.76,1838.8399999999995,10.59,89.41
Billed Wt,PNQ,VJA,1251.48,374.56000000000006,876.9199999999998,29.93,70.07
Billed Wt,UPT,AMD,1378.64,272.56,1106.0799999999997,19.77,80.23
Billed Wt,UPT,BBI,853.12,216.88,636.2400000000001,25.42,74.58
Billed Wt,UPT,BLR,3522.279999999999,1728.4400000000003,1793.8400000000001,49.07,50.93
Billed Wt,UPT,CCU,2233.7200000000003,561.52,1672.2,25.14,74.86
Billed Wt,UPT,CHE,1554.3200000000002,195.92000000000002,1358.3999999999999,12.6,87.4
Billed Wt,UPT,CJB,528.96,0.0,528.96,0.0,100.0
Billed Wt,UPT,COK,868.2800000000003,0.0,868.2800000000003,0.0,100.0
Billed Wt,UPT,DDL,4495.959999999999,3970.08,525.88,88.3,11.7
Billed Wt,UPT,GAU,926.5999999999998,0.0,926.5999999999998,0.0,100.0
Billed Wt,UPT,HHPT,3830.2000000000003,1912.0000000000002,1918.1999999999996,49.92,50.08
Billed Wt,UPT,HYD,1702.2400000000002,451.15999999999997,1251.0799999999997,26.5,73.5
Billed Wt,UPT,IDR,1151.3200000000002,234.60000000000002,916.7200000000003,20.38,79.62
Billed Wt,UPT,JAI,2550.519999999999,1168.8799999999999,1381.6399999999996,45.83,54.17
Billed Wt,UPT,MUM,3215.3599999999997,1289.0,1926.3599999999997,40.09,59.91
Billed Wt,UPT,NGP,846.52,332.44,514.08,39.27,60.73
Billed Wt,UPT,PAT,1234.5200000000002,193.4,1041.1200000000001,15.67,84.33
Billed Wt,UPT,PNQ,2241.76,852.6,1389.1599999999996,38.03,61.97
Billed Wt,UPT,UPT,0.0,0.0,0.0,0.0,0.0
Billed Wt,UPT,VJA,830.2799999999999,0.0,830.2799999999999,0.0,100.0
Billed Wt,VJA,AMD,237.04,0.0,237.04,0.0,100.0
Billed Wt,VJA,BBI,162.32,0.0,162.32,0.0,100.0
Billed Wt,VJA,BLR,2246.8799999999997,498.64,1748.24,22.19,77.81
Billed Wt,VJA,CCU,261.0800000000001,0.0,261.0800000000001,0.0,100.0
Billed Wt,VJA,CHE,1232.6800000000003,0.0,1232.6800000000003,0.0,100.0
