des_branch_code,service_type,type,sum
C22,Air Red,Volume,99.72
C22,Air White,Volume,616.6
C22,Ground,Volume,162.48
C30,Air Red,Volume,175.72
C30,Air White,Volume,690.72
C30,Ground,Volume,139.44
C36,Air Red,Volume,361.28
C36,Air White,Volume,1662.56
C36,Ground,Volume,163.28
C37,Air Red,Volume,248.52
C37,Air White,Volume,1283.6
C37,Ground,Volume,166.88
C38,Air Red,Volume,188.96
C38,Air White,Volume,866.2
C38,Ground,Volume,133.16
C47,Air Red,Volume,344.64
C47,Air White,Volume,1373.8
C47,Ground,Volume,254.48
C48,Air Red,Volume,185.96
C48,Air White,Volume,1253.28
C48,Ground,Volume,155.84
C50,Air Red,Volume,78.76
C50,Air White,Volume,381.0
C50,Ground,Volume,78.56
C53,Air Red,Volume,112.0
C53,Air White,Volume,856.96
C53,Ground,Volume,167.4
C57,Air Red,Volume,65.52
C57,Air White,Volume,321.4
C57,Ground,Volume,72.92
C59,Air Red,Volume,42.76
C59,Air White,Volume,240.48
C59,Ground,Volume,53.72
C60,Air Red,Volume,19.56
C60,Air White,Volume,129.4
C60,Ground,Volume,32.04
C73,Air Red,Volume,24.16
C73,Air White,Volume,136.28
C73,Ground,Volume,31.56
C74,Air Red,Volume,133.2
C74,Air White,Volume,766.04
C74,Ground,Volume,119.96
E02,Air Red,Volume,142.4
E02,Air White,Volume,781.52
E02,Ground,Volume,130.92
E03,Air Red,Volume,113.56
E03,Air White,Volume,797.24
E03,Ground,Volume,139.48
E05,Air Red,Volume,36.8
E05,Air White,Volume,225.84
E05,Ground,Volume,53.12
E06,Air Red,Volume,188.52
E06,Air White,Volume,1068.12
E06,Ground,Volume,235.88
E07,Air Red,Volume,48.16
E07,Air White,Volume,278.12
E07,Ground,Volume,58.16
E09,Air Red,Volume,64.56
E09,Air White,Volume,352.0
E09,Ground,Volume,78.68
E10,Air Red,Volume,47.16
E10,Air White,Volume,277.24
E10,Ground,Volume,48.68
E11,Air Red,Volume,100.2
E11,Air White,Volume,375.32
E11,Ground,Volume,82.68
E16,Air Red,Volume,65.24
E16,Air White,Volume,358.32
E16,Ground,Volume,86.48
E20,Air Red,Volume,15.32
E20,Air White,Volume,96.96
E20,Ground,Volume,16.76
E21,Air Red,Volume,346.4
E21,Air White,Volume,2089.48
E21,Ground,Volume,323.72
E23,Air Red,Volume,97.24
E23,Air White,Volume,561.12
E23,Ground,Volume,128.16
E24,Air Red,Volume,23.0
E24,Air White,Volume,122.6
E24,Ground,Volume,29.56
H07,Air Red,Volume,277.88
H07,Air White,Volume,1633.12
H07,Ground,Volume,158.88
H08,Air Red,Volume,417.52
H08,Air White,Volume,2318.2
H08,Ground,Volume,222.36
H09,Air Red,Volume,344.48
H09,Air White,Volume,2038.88
H09,Ground,Volume,256.24
H10,Air Red,Volume,189.76
H10,Air White,Volume,1465.44
H10,Ground,Volume,121.52
H11,Air Red,Volume,377.6
H11,Air White,Volume,1774.64
H11,Ground,Volume,300.76
H17,Air Red,Volume,149.12
H17,Air White,Volume,1061.0
H17,Ground,Volume,217.28
H37,Air Red,Volume,147.6
H37,Air White,Volume,895.56
H37,Ground,Volume,210.68
H42,Air Red,Volume,120.2
H42,Air White,Volume,806.8
H42,Ground,Volume,176.64
H48,Air Red,Volume,224.84
H48,Air White,Volume,1388.52
H48,Ground,Volume,190.76
H53,Air Red,Volume,138.92
H53,Air White,Volume,788.4
H53,Ground,Volume,196.44
H70,Air Red,Volume,826.28
H70,Air White,Volume,3714.92
H70,Ground,Volume,500.72
H71,Air Red,Volume,350.04
H71,Air White,Volume,1287.8
H71,Ground,Volume,240.08
H74,Air Red,Volume,278.56
H74,Air White,Volume,1787.84
H74,Ground,Volume,208.92
H75,Air Red,Volume,131.08
H75,Air White,Volume,784.8
H75,Ground,Volume,91.6
H79,Air Red,Volume,331.64
H79,Air White,Volume,2350.48
H79,Ground,Volume,303.72
H80,Air Red,Volume,364.32
H80,Air White,Volume,2271.76
H80,Ground,Volume,301.08
H91,Air Red,Volume,152.2
H91,Air White,Volume,1268.72
H91,Ground,Volume,213.28
H92,Air Red,Volume,95.16
H92,Air White,Volume,850.72
H92,Ground,Volume,133.56
H96,Air Red,Volume,116.64
H96,Air White,Volume,897.0
H96,Ground,Volume,144.76
H98,Air Red,Volume,75.48
H98,Air White,Volume,525.8
H98,Ground,Volume,106.32
I02,Air Red,Volume,109.32
I02,Air White,Volume,553.2
I02,Ground,Volume,167.88
