zone,region,city,office,name,lat,lon
NORTH,NORTH DELHI RO,NOIDA,N30,NOIDA APEX,28.5931599,77.3135731
NORTH,NORTH DELHI RO,DELHI,N39,NORTH DELHI SAMALKHA STORAGE CENTER APEX,28.53231663,77.09848338
NORTH,NORTH DELHI RO,DELHI,N41,DELHI SAMHALKHA SURFACE APEX,28.53231663,77.09848338
NORTH,NORTH DELHI RO,DELHI,N43,TRANSYAMUNA APEX,28.634016,77.31575
NORTH,NORTH DELHI RO,DELHI,N45,ROHINI APEX,28.7454745,77.1360366
SOUTH,COCHIN,COCHIN,O06,COCHIN APEX,10.06337,76.28998
SOUTH,COCHIN,COCHIN,O91,COCHIN T/S APEX,10.06337,76.28998
WEST,PUNE,PUNE,P01,PUNE APEX,18.628523,73.873561
WEST,PUNE,PUNE,P75,PUNE T/S APEX,18.628523,73.873561
NORTH,JAIPUR,JAIPUR,Q05,JAIPUR APEX,26.88274,75.740257
NORTH,JAIPUR,JAIPUR,Q08,JAIPUR SCS APEX,26.88274,75.740257
NORTH,JAIPUR,JAIPUR,Q46,JAIPUR T/S APEX,26.88274,75.740257
WEST,NAGPUR RO,NAGPUR,R01,NAGPUR AIR APEX,21.0595127,79.0560147
WEST,NAGPUR RO,NAGPUR,R05,NAGPUR T/S APEX,21.0595127,79.0560147
WEST,NAGPUR RO,RAIPUR,R06,RAIPUR APEX,21.258502,81.557855
WEST,NAGPUR RO,NAGPUR,R16,NAGPUR SCS APEX,21.13869147,79.00504534
WEST,NAGPUR RO,RAIPUR,R17,RAIPUR T/S APEX,21.258502,81.557855
NORTH,SOUTH DELHI RO,DELHI,S12,OKHLA SCS APEX,28.521952,77.281951
NORTH,SOUTH DELHI RO,DELHI,S13,OKHLA APEX,28.53912798,77.26958264
NORTH,SOUTH DELHI RO,DELHI,S25,SOUTH DELHI DP PROCESSING CENTER APEX,28.53231663,77.09848338
EAST,PATNA,PATNA,T01,PATNA APEX,25.5762215,85.2358959
EAST,PATNA,RANCHI,T02,RANCHI APEX,23.35235,85.377875
EAST,PATNA,PATNA,T12,PATNA T/S APEX,25.5762215,85.2358959
EAST,PATNA,PATNA,T17,BIHAR T/S APEX,25.5762215,85.2358959
EAST,PATNA,RANCHI,T33,RANCHI T/S APEX,23.35235,85.377875
EAST,PATNA,RANCHI,T35,JHARKHAND T/S APEX,23.35235,85.377875
NORTH,GHAZIABAD RO,VARANASI,U04,VARANASI APEX,25.248513,82.927774
NORTH,GHAZIABAD RO,GHAZIABAD,U11,GHAZIABAD APEX,28.68924002,77.43653512
NORTH,GHAZIABAD RO,GHAZIABAD,U137,UPT DP PROCESSING CENTRE APEX,28.53231663,77.09848338
NORTH,GHAZIABAD RO,LUCKNOW,U147,LUCKNOW T/S APEX,26.722948,80.902664
NORTH,GHAZIABAD RO,SAHIBABAD,U33,SAHIBABAD SCS APEX,28.68924002,77.43653512
NORTH,GHAZIABAD RO,AGRA,U34,AGRA SCS APEX,27.21137,77.961799
NORTH,GHAZIABAD RO,KASHIPUR,U35,KASHIPUR SCS APEX,29.196774,78.95236887
NORTH,GHAZIABAD RO,DEHRADUN,U36,DEHRADUN SCS APEX,30.3642,77.847537
NORTH,GHAZIABAD RO,RUDRAPUR,U37,RUDRAPUR SCS APEX,28.95974,79.42132
NORTH,GHAZIABAD RO,NOIDA,U38,NOIDA SCS APEX,28.532392,77.413571
NORTH,GHAZIABAD RO,LUCKNOW,U39,LUCKNOW SCS APEX,26.722948,80.902664
NORTH,GHAZIABAD RO,KANPUR,U40,KANPUR SCS APEX,26.40543369,80.35614724
NORTH,GHAZIABAD RO,LUCKNOW,U43,LUCKNOW APEX,26.722948,80.902664
SOUTH,VIJAYAWADA,VISHAKAPATNAM,V02,VISHAKAPATNAM APEX,17.73699,83.26624
SOUTH,VIJAYAWADA,VIJAYAWADA,V06,VIJAYAWADA APEX,16.5479875,80.6892874
SOUTH,VIJAYAWADA,VIJAYAWADA,V59,VIJAYAWADA T/S APEX,16.5479875,80.6892874
EAST,BHUBANESHWAR,BHUBANESHWAR,W10,BHUBANESHWAR SURFACE APEX,20.4072674,85.8775314
EAST,BHUBANESHWAR,BHUBANESHWAR,W53,BHUBANESWAR AIR APEX,20.302516,85.85346
EAST,BHUBANESHWAR,BHUBANESHWAR,W55,BHUBANESWAR T/S APEX,20.302516,85.85346
EAST,GUWAHATI,GUWAHATI,X01,DHARAPUR APEX,26.13382,91.62004
EAST,GUWAHATI,AGARTALA,X03,AGARTALA APEX,23.83510848,91.27031132
EAST,GUWAHATI,AGARTALA,X11,AGARTALA T/S APEX,23.83510848,91.27031132
EAST,GUWAHATI,DIBRUGARH,X21,DIBRUGARH APEX,27.48061152,94.90665145
EAST,GUWAHATI,AGARTALA,X35,HGB ROAD APEX,23.82912363,91.27772305
EAST,GUWAHATI,GUWAHATI,X42,DHARAPUR T/S APEX,26.13382,91.62004
