Region,Service_Type,Type,Num_Branches,Cumulative_Percentage,Branches
BBI,Ground,Billed Wt,42,56.65046123161307,"A03, B06, B09, B26, B27, B35, B61, C13, C37, H70, J26, K05, K06, K07, K22, K28, K45, K72, K75, K81, L04, L23, M08, M35, M46, N09, N17, N32, N35, O04, P04, P19, P50, Q35, R19, S02, S04, T03, T04, T09, T10, U06"
BBI,Ground,Volume,1,5.383546063439904,S04
BLR,Air Red,Billed Wt,87,61.70399777331792,"A03, A11, A24, A36, C13, C14, C15, C36, C37, C38, C47, C53, C57, C74, E06, E21, H07, H08, H09, H10, H11, H48, H70, H71, H74, H75, H79, H80, J03, K05, K28, K75, L02, L03, L04, L23, L27, M01, M02, M04, M05, M06, M07, M08, M45, M47, M48, M54, M59, M61, M66, M78, M87, N02, N03, N11, N17, N31, N32, N37, N38, O02, O04, O05, O09, O13, P04, P12, P15, P19, P22, P24, P27, P50, Q06, R32, S01, S02, S04, S09, T10, U03, U10, V08, V58, W52, X22"
BLR,Air Red,Volume,49,40.75274452474212,"A24, A36, A46, C13, C14, C36, C37, C47, E21, H08, H09, H11, H70, H71, H79, H80, J03, L02, L04, M01, M04, M05, M06, M07, M08, M45, M47, M48, M54, M59, M61, M78, M87, N11, N32, N38, O02, O04, O05, P04, P12, P15, P19, P24, P27, S01, S04, V08, V58"
BLR,Air White,Billed Wt,251,90.59636529393404,"A02, A03, A05, A07, A11, A16, A18, A24, A36, A38, A44, A46, A48, A50, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C57, C59, C74, E02, E03, E06, E07, E09, E11, E16, E21, E23, E24, H07, H08, H09, H10, H11, H17, H37, H42, H48, H53, H70, H71, H74, H75, H79, H80, H91, H92, H96, H98, I02, I08, I42, I43, I46, J01, J02, J03, J04, J05, J07, J08, J13, J15, J16, J18, J19, J20, J21, J25, J26, J39, K01, K05, K06, K07, K08, K14, K22, K23, K28, K32, K39, K40, K68, K72, K74, K75, K81, L02, L03, L04, L05, L23, L27, M01, M02, M04, M05, M06, M07, M08, M35, M39, M45, M46, M47, M48, M54, M59, M61, M66, M68, M78, M85, M87, N02, N03, N09, N10, N11, N15, N17, N31, N32, N33, N35, N37, N38, N42, O01, O02, O03, O04, O05, O07, O08, O09, O11, O12, O13, O23, O25, O60, O88, O89, O90, O93, P04, P06, P08, P09, P10, P11, P12, P15, P19, P20, P22, P24, P27, P50, P65, Q01, Q02, Q03, Q04, Q06, Q09, Q11, Q17, Q35, R07, R08, R11, R32, S01, S02, S03, S04, S09, S17, S26, S27, T03, T04, T10, T32, U01, U02, U03, U06, U07, U09, U10, U13, U130, U139, U143, U15, U18, U23, U24, U30, U48, V01, V04, V05, V07, V08, V09, V10, V11, V12, V13, V15, V16, V21, V22, V24, V32, V57, V58, W02, W03, W04, W07, W21, W22, W23, W52, X02, X05, X06, X10, X17, X19, X22, X32, X34"
BLR,Air White,Volume,188,84.37548666699297,"A02, A03, A05, A11, A24, A36, A46, A48, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C57, C74, E02, E03, E06, E07, E09, E11, E16, E21, E23, H07, H08, H09, H10, H11, H17, H37, H42, H48, H53, H70, H71, H74, H75, H79, H80, H91, H92, H96, H98, I08, I42, I43, I46, J01, J02, J03, J05, J13, J21, K01, K05, K06, K07, K08, K39, K68, K74, K75, K81, L02, L03, L04, L23, L27, M01, M02, M04, M05, M06, M07, M08, M39, M45, M46, M47, M48, M54, M59, M61, M66, M68, M78, M85, M87, N02, N03, N09, N10, N11, N15, N17, N31, N32, N35, N37, N38, N42, O01, O02, O03, O04, O05, O07, O08, O09, O11, O12, O13, O23, O60, O88, O89, O90, P04, P06, P09, P10, P11, P12, P15, P19, P22, P24, P27, P50, Q01, Q02, Q03, Q04, Q06, Q17, R11, R32, S01, S02, S03, S04, S09, S17, S26, S27, T03, T04, T32, U03, U06, U09, U10, U13, U130, U139, U30, U48, V01, V04, V05, V07, V08, V09, V10, V11, V12, V13, V15, V16, V21, V24, V32, V57, V58, W02, W04, W52, X22"
BLR,Ground,Billed Wt,264,94.00463554290044,"A03, A05, A07, A11, A18, A24, A33, A36, A38, A44, A48, A49, A50, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C57, C59, C60, C73, C74, E02, E03, E05, E06, E07, E09, E10, E11, E16, E20, E21, E23, E24, H07, H08, H09, H10, H11, H17, H37, H42, H48, H53, H70, H71, H74, H75, H79, H80, H91, H92, H96, H98, I02, I03, I08, I42, I45, I46, J01, J02, J03, J04, J05, J07, J08, J12, J13, J15, J18, J19, J21, J25, J26, J37, K05, K06, K07, K08, K14, K22, K23, K28, K32, K40, K45, K51, K72, K74, K75, K81, K85, L03, L04, L05, L23, L27, M01, M02, M04, M05, M06, M07, M08, M35, M39, M45, M46, M47, M48, M54, M57, M59, M61, M63, M66, M78, M85, M87, N02, N03, N09, N10, N11, N15, N17, N31, N32, N33, N35, N37, N38, N42, O01, O02, O03, O04, O05, O07, O08, O09, O11, O12, O13, O14, O23, O25, O60, O88, O89, O90, O93, P04, P06, P08, P09, P10, P11, P12, P13, P15, P17, P19, P20, P22, P24, P25, P27, P38, P50, P57, P65, P73, Q02, Q03, Q04, Q06, Q09, Q11, Q12, Q13, Q16, Q35, R08, R11, R12, R19, R32, S01, S02, S04, S26, S27, T03, T04, T10, T13, T15, U01, U02, U03, U06, U07, U09, U10, U13, U139, U14, U143, U15, U16, U18, U22, U23, U24, U26, U30, U45, U48, U79, V01, V04, V05, V07, V08, V09, V10, V11, V12, V13, V15, V16, V21, V22, V24, V32, V57, V58, W02, W03, W04, W05, W06, W07, W23, W52, X02, X05, X06, X10, X19, X22"
BLR,Ground,Volume,32,33.224784841382046,"C13, C14, C30, C36, C37, C38, C47, C53, E06, E21, H08, H09, H11, H48, H70, H71, H79, H80, L04, M01, M05, M08, O02, O04, O05, O13, P04, P24, S04, U03, V08, V58"
CCU,Air Red,Billed Wt,82,60.67696429978717,"A24, A36, A46, B06, B07, B08, B09, B11, B26, B35, B58, B59, B61, C13, C14, C36, C37, C47, E21, H07, H08, H09, H11, H70, H74, I42, J01, J03, L02, L04, L27, M01, M02, M05, M06, M07, M08, M45, M48, M54, M61, M78, N02, N03, N09, N10, N11, N17, N33, N35, O02, O04, O05, P04, P12, P15, P24, P27, Q01, Q04, Q06, R29, S01, S04, S17, S26, T03, T04, T10, T32, U01, U03, U06, U10, U139, V58, W02, W05, W52, X02, X05, X22"
CCU,Air Red,Volume,58,45.29165332479448,"A11, A24, A36, A46, B06, B07, B09, B11, B26, B35, B58, B59, B61, C13, C14, C47, E21, H08, H70, I42, J01, J03, L02, L04, M01, M02, M05, M07, M08, M45, M48, M54, M61, M78, M87, N02, N03, N10, N11, N17, O04, P04, P12, P15, P24, P27, Q01, S01, S04, S17, T03, T04, T32, U03, V58, W02, W52, X22"
